,Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Fence,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Garage,Basement,Year Remod/Add_bis,Renovated before sale,Lot Area**0.5,Lot Area**2,Lot Area**3,Garage Area**0.5,Garage Area**2,Garage Area**3,Year Remod/Add**0.5,Year Remod/Add**2,Year Remod/Add**3
421,2263,916384150,20,RL,89.0,10991,No,IR1,HLS,Inside,Gtl,Timber,Norm,1Fam,1Story,8,1.791759469228055,2.70805020110221,2007,Gable,VinylSd,VinylSd,BrkFace,4.394449154672439,4,3,PConc,4,1.6094379124341003,Unf,0.0,Unf,7.360103972989152,1571.0,5,Y,SBrkr,7.360103972989152,0.0,0,7.360103972989152,0.0,2,0.0,1.3862943611198906,4,2.0794415416798357,Typ,0.6931471805599453,Attchd,2.70805020110221,Fin,3.0,722.0,Y,4.61512051684126,3.6109179126442243,0.0,0,No,0,12,2007,New,Partial,12.384223015005313,Yes,Yes,0.0,Yes,104.83797022071727,120802081,1327735672271,26.870057685088806,521284.0,376367048.0,44.799553569204235,4028049,8084294343
422,2435,528240080,60,RL,106.0,11194,No,IR1,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,8,1.791759469228055,3.091042453358316,2000,Gable,VinylSd,VinylSd,BrkFace,3.713572066704308,4,3,PConc,4,0.6931471805599453,Unf,0.0,Unf,7.249215057114389,1406.0,5,Y,SBrkr,7.282761179605593,6.180016653652572,0,7.5688956634069955,0.0,2,0.6931471805599453,1.3862943611198906,4,2.0794415416798357,Typ,0.6931471805599453,Attchd,3.091042453358316,RFn,2.0,504.0,Y,5.241747015059643,4.8283137373023015,0.0,0,No,0,11,2006,WD ,Normal,12.348010479804223,Yes,Yes,0.0,No,105.80170130957252,125305636,1402671289384,22.44994432064365,254016.0,128024064.0,44.721359549995796,4000000,8000000000
423,53,528228285,120,RL,43.0,3203,No,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,TwnhsE,1Story,7,1.791759469228055,2.772588722239781,2006,Gable,VinylSd,VinylSd,BrkFace,2.70805020110221,4,3,PConc,4,1.3862943611198906,GLQ,2.833213344056216,Unf,7.029972911706386,1145.0,5,Y,SBrkr,7.044032897274685,0.0,0,7.044032897274685,0.0,2,0.0,1.0986122886681098,4,1.9459101490553132,Typ,0.0,Attchd,2.772588722239781,Fin,2.0,437.0,Y,4.61512051684126,4.762173934797756,0.0,0,No,0,1,2010,WD ,Normal,11.982935344196433,Yes,Yes,0.0,No,56.595052787324086,10259209,32860246427,20.904544960366874,190969.0,83453453.0,44.78839135311738,4024036,8072216216
424,1539,909425010,50,RL,68.0,15660,No,IR1,Lvl,Corner,Gtl,Crawfor,Norm,1Fam,1.5Fin,7,2.302585092994046,4.418840607796598,2006,Gable,VinylSd,VinylSd,BrkFace,5.746203190540153,4,4,CBlock,3,0.6931471805599453,BLQ,5.834810737062605,Unf,6.126869184114185,798.0,5,Y,SBrkr,7.037027614686276,6.706862336602747,0,7.578145472419466,0.0,1,0.6931471805599453,1.3862943611198906,4,2.1972245773362196,Typ,1.0986122886681098,Attchd,4.418840607796598,Unf,2.0,431.0,Y,0.0,4.787491742782046,5.017279836814924,0,No,0,5,2008,WD ,Normal,12.649157827477366,Yes,Yes,4.219507705176107,No,125.13992168768526,245235600,3840389496000,20.760539492026695,185761.0,80062991.0,44.78839135311738,4024036,8072216216
425,2461,528456200,20,FV,72.0,8640,No,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,1.791759469228055,2.772588722239781,2006,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,0.6931471805599453,GLQ,3.2188758248682006,Unf,7.134890851565884,1278.0,5,Y,SBrkr,7.153833801578843,0.0,0,7.153833801578843,0.0,2,0.0,1.0986122886681098,4,1.791759469228055,Typ,0.0,Attchd,2.772588722239781,RFn,2.0,584.0,Y,0.0,4.110873864173311,0.0,0,No,0,10,2006,New,Partial,12.19905306582726,Yes,Yes,0.0,Yes,92.951600308978,74649600,644972544000,24.166091947189145,341056.0,199176704.0,44.78839135311738,4024036,8072216216
426,1726,528186190,120,RL,48.0,6240,No,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,8,1.791759469228055,2.772588722239781,2006,Hip,MetalSd,MetalSd,BrkFace,5.176149732573829,4,3,PConc,4,0.6931471805599453,GLQ,3.2188758248682006,Unf,7.170888478512505,1324.0,5,Y,SBrkr,7.1891677384203225,0.0,0,7.1891677384203225,0.0,2,0.0,1.0986122886681098,4,1.9459101490553132,Typ,0.6931471805599453,Attchd,2.772588722239781,Fin,2.0,550.0,Y,0.0,3.6635616461296463,0.0,0,No,0,9,2007,New,Partial,12.307595306034257,Yes,Yes,0.0,Yes,78.99367063252599,38937600,242970624000,23.45207879911715,302500.0,166375000.0,44.78839135311738,4024036,8072216216
427,21,527358140,20,RL,105.0,11751,No,IR1,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,6,1.9459101490553132,3.8066624897703196,1977,Hip,Plywood,Plywood,BrkFace,6.175867270105761,3,3,CBlock,4,0.6931471805599453,BLQ,6.559615237493242,Unf,7.038783541388542,1844.0,5,Y,SBrkr,7.520234556474628,0.0,0,7.520234556474628,0.0,2,0.0,1.3862943611198906,3,2.0794415416798357,Typ,0.6931471805599453,Attchd,3.8066624897703196,RFn,2.0,546.0,Y,0.0,4.812184355372417,0.0,0,Yes,0,1,2010,COD,Normal,12.154784614286667,Yes,Yes,0.0,No,108.4020295012967,138086001,1622648597751,23.366642891095847,298116.0,162771336.0,44.46346815083142,3908529,7727161833
428,1739,528222060,60,RL,72.0,8229,No,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,1.791759469228055,2.70805020110221,2007,Gable,VinylSd,VinylSd,Stone,3.1354942159291497,4,3,PConc,4,1.3862943611198906,Unf,0.0,Unf,6.6240652277998935,752.0,5,Y,SBrkr,6.6240652277998935,6.6240652277998935,0,7.316548177182976,0.0,2,0.6931471805599453,1.3862943611198906,4,1.9459101490553132,Typ,0.0,Attchd,2.70805020110221,Fin,2.0,440.0,Y,4.61512051684126,3.4965075614664802,0.0,0,No,0,12,2007,New,Partial,12.019749091416921,Yes,Yes,0.0,Yes,90.71383576941281,67716441,557238592989,20.97617696340303,193600.0,85184000.0,44.799553569204235,4028049,8084294343
429,2875,910203100,30,RM,61.0,8534,No,Reg,Low,Inside,Gtl,IDOTRR,Norm,1Fam,1Story,4,1.6094379124341003,4.574710978503383,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,2,0.6931471805599453,Unf,0.0,Unf,6.07073772800249,432.0,3,N,FuseA,6.511745329644728,0.0,0,6.511745329644728,0.0,1,0.0,1.0986122886681098,3,1.6094379124341003,Min1,0.0,Attchd,3.784189633918261,Unf,0.0,0.0,N,0.0,0.0,4.727387818712341,0,Yes,0,6,2006,WD ,Normal,11.184435286790631,No,Yes,3.258096538021482,No,92.37965143904798,72829156,621524017304,0.0,0.0,0.0,44.15880433163923,3802500,7414875000
430,2802,907290080,20,RL,70.0,9100,No,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,1.791759469228055,2.8903717578961645,2005,Hip,VinylSd,VinylSd,None,0.0,4,3,PConc,4,0.6931471805599453,GLQ,3.2188758248682006,Unf,7.515889085215125,1860.0,5,Y,SBrkr,7.515889085215125,0.0,0,7.515889085215125,0.0,2,0.0,1.3862943611198906,4,2.1972245773362196,Typ,0.6931471805599453,Attchd,2.8903717578961645,Fin,2.0,484.0,Y,4.795790545596741,3.5263605246161616,0.0,0,No,0,10,2006,WD ,Normal,12.28690580994122,Yes,Yes,0.6931471805599453,Yes,95.39392014169457,82810000,753571000000,22.0,234256.0,113379904.0,44.77722635447622,4020025,8060150125
431,195,903226160,50,RM,50.0,6000,No,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,6,2.0794415416798357,4.418840607796598,1950,Gable,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,0.6931471805599453,BLQ,6.115892125483034,LwQ,4.976733742420574,608.0,3,Y,SBrkr,6.411818267709897,6.263398262591624,0,7.0326242610280065,0.6931471805599453,1,0.0,1.0986122886681098,3,1.791759469228055,Typ,0.0,Detchd,4.418840607796598,Unf,1.0,240.0,Y,0.0,0.0,4.859812404361672,0,Yes,0,4,2010,WD ,Abnorml,11.80560254159177,Yes,Yes,2.4849066497880004,No,77.45966692414834,36000000,216000000000,15.491933384829668,57600.0,13824000.0,44.15880433163923,3802500,7414875000
432,190,902402250,190,RM,60.0,11340,No,Reg,Lvl,Inside,Gtl,OldTown,Norm,2fmCon,2Story,4,1.9459101490553132,4.919980925828125,1950,Gable,VinylSd,AsbShng,None,0.0,3,3,PConc,3,0.6931471805599453,Unf,0.0,Unf,6.656726524178391,777.0,4,Y,SBrkr,7.1284959456800365,6.951772164398911,0,7.736743682453495,0.0,2,0.0,1.6094379124341003,3,2.4849066497880004,Typ,0.0,Detchd,3.9318256327243257,Unf,2.0,560.0,N,0.0,0.0,4.74493212836325,0,No,0,4,2010,WD ,Normal,11.715874472198905,Yes,Yes,4.189654742026425,No,106.4894360957931,128595600,1458274104000,23.664319132398465,313600.0,175616000.0,44.15880433163923,3802500,7414875000
433,2050,905100080,85,RL,75.0,11235,No,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,SFoyer,5,1.791759469228055,4.060443010546419,1980,Gable,HdBoard,HdBoard,BrkFace,3.4339872044851463,3,3,CBlock,4,1.3862943611198906,BLQ,6.666956792429207,Unf,6.455198563340122,1420.0,4,Y,SBrkr,7.2813856635702825,0.0,0,7.2813856635702825,0.6931471805599453,1,0.0,1.0986122886681098,3,1.9459101490553132,Min2,0.6931471805599453,Detchd,4.060443010546419,Unf,2.0,572.0,Y,4.532599493153256,0.0,4.48863636973214,0,No,0,11,2007,WD ,Normal,11.973200676238312,Yes,Yes,2.833213344056216,No,105.99528291391084,126225225,1418140402875,23.916521486202797,327184.0,187149248.0,44.49719092257398,3920400,7762392000
434,1181,533250160,120,RL,32.0,10846,No,IR1,Lvl,CulDSac,Gtl,Veenker,Norm,TwnhsE,1Story,8,1.791759469228055,3.367295829986474,1993,Gable,BrkFace,BrkFace,None,0.0,4,3,PConc,4,1.6094379124341003,GLQ,7.3901814282264295,Unf,4.61512051684126,1719.0,5,Y,SBrkr,7.450079569807499,0.0,0,7.450079569807499,1.0986122886681098,1,0.6931471805599453,0.6931471805599453,4,1.9459101490553132,Typ,1.0986122886681098,Attchd,3.367295829986474,Fin,2.0,473.0,Y,4.812184355372417,3.4339872044851463,0.0,0,No,0,5,2008,Con,Normal,12.688501881189456,Yes,Yes,0.0,No,104.14413089560064,117635716,1275876975736,21.748563170931547,223729.0,105823817.0,44.64302857109943,3972049,7916293657
435,323,923201020,20,RL,85.0,15300,No,Reg,Bnk,Inside,Gtl,Mitchel,Norm,1Fam,1Story,5,1.791759469228055,4.04305126783455,1977,Hip,Plywood,HdBoard,None,0.0,3,3,CBlock,3,0.6931471805599453,Rec,3.7612001156935624,Unf,6.934397209928558,1068.0,3,Y,SBrkr,7.142827401161621,0.0,0,7.142827401161621,0.6931471805599453,1,0.0,1.0986122886681098,3,2.0794415416798357,Typ,0.6931471805599453,Attchd,4.04305126783455,Unf,2.0,528.0,Y,0.0,0.0,0.0,0,No,0,6,2010,WD ,Normal,12.037659911047468,Yes,Yes,2.5649493574615367,No,123.69316876852982,234090000,3581577000000,22.978250586152114,278784.0,147197952.0,44.46346815083142,3908529,7727161833
436,1331,903206070,50,RL,68.0,7010,No,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,5,1.791759469228055,4.465908118654584,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,0.6931471805599453,Rec,5.170483995038151,Unf,6.745236349484363,1024.0,3,Y,SBrkr,7.0431599159883405,6.38856140554563,0,7.461065514354283,0.0,2,0.0,1.3862943611198906,3,1.9459101490553132,Typ,0.6931471805599453,Detchd,4.276666119016055,Unf,1.0,240.0,P,0.0,3.4339872044851463,0.0,0,No,0,7,2008,WD ,Normal,11.938199736300925,Yes,Yes,2.772588722239781,No,83.72574275573791,49140100,344472101000,15.491933384829668,57600.0,13824000.0,44.15880433163923,3802500,7414875000
437,635,535175030,20,RL,80.0,9600,No,Reg,Lvl,Inside,Gtl,NAmes,Feedr,1Fam,1Story,6,1.9459101490553132,4.1588830833596715,1988,Hip,Wd Sdng,Wd Sdng,BrkCmn,5.214935757608986,3,3,CBlock,3,0.6931471805599453,Rec,6.431331081933479,LwQ,0.0,1240.0,4,Y,SBrkr,7.398174092970465,0.0,0,7.398174092970465,0.6931471805599453,2,0.0,1.3862943611198906,3,1.9459101490553132,Min1,0.6931471805599453,Attchd,4.1588830833596715,RFn,1.0,338.0,Y,5.66988092298052,0.0,0.0,0,Yes,0,4,2009,WD ,Normal,11.842236406331555,Yes,Yes,3.4339872044851463,No,97.97958971132712,92160000,884736000000,18.384776310850235,114244.0,38614472.0,44.58699361921591,3952144,7856862272
439,1506,908226120,50,RL,60.0,12180,No,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1.5Fin,5,2.0794415416798357,4.430816798843313,2007,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,0.6931471805599453,Unf,0.0,Unf,6.373319789577012,585.0,4,Y,FuseF,6.373319789577012,6.150602768446279,0,6.960347729101308,0.0,1,0.6931471805599453,1.0986122886681098,5,1.791759469228055,Typ,0.0,Attchd,3.784189633918261,Unf,0.0,0.0,N,3.7612001156935624,0.0,0.0,0,No,0,1,2008,WD ,Family,11.695255355062795,No,Yes,4.248495242049359,Yes,110.36303729057116,148352400,1806932232000,0.0,0.0,0.0,44.799553569204235,4028049,8084294343
440,1785,528435040,20,RL,79.0,9416,No,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,7,1.791759469228055,2.70805020110221,2007,Hip,CemntBd,CmentBd,Stone,5.327876168789581,5,3,PConc,5,0.6931471805599453,GLQ,7.027314514039777,Unf,6.398594934535208,1726.0,5,Y,SBrkr,7.454141078146678,0.0,0,7.454141078146678,0.6931471805599453,2,0.0,1.3862943611198906,5,2.1972245773362196,Typ,0.6931471805599453,Attchd,2.70805020110221,Fin,3.0,786.0,Y,5.147494476813453,4.9344739331306915,0.0,0,No,0,9,2007,New,Partial,12.650351332641707,Yes,Yes,0.0,Yes,97.03607576566563,88661056,834832503296,28.035691537752374,617796.0,485587656.0,44.799553569204235,4028049,8084294343
442,477,528235200,80,RL,59.0,9434,No,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,SLvl,7,1.791759469228055,2.8903717578961645,2005,Gable,WdShing,Wd Shng,None,0.0,4,3,PConc,4,1.0986122886681098,Unf,0.0,Unf,5.953243334287785,384.0,5,Y,SBrkr,6.61338421837956,6.447305862541213,0,7.226209010100671,0.0,2,0.6931471805599453,1.3862943611198906,4,1.9459101490553132,Typ,0.6931471805599453,BuiltIn,2.8903717578961645,Fin,2.0,400.0,Y,4.61512051684126,0.0,0.0,0,No,0,8,2009,WD ,Normal,12.04355959836804,Yes,Yes,0.6931471805599453,No,97.12878049270464,89000356,839629358504,20.0,160000.0,64000000.0,44.77722635447622,4020025,8060150125
443,2038,903457130,190,RM,52.0,4330,Yes,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,2fmCon,1.5Fin,4,1.9459101490553132,4.1588830833596715,1958,Gable,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2,0.6931471805599453,Rec,6.525029657843462,ALQ,0.0,808.0,3,Y,SBrkr,6.732210706467206,6.169610732491456,0,7.182352111885263,0.6931471805599453,2,0.0,1.3862943611198906,3,1.791759469228055,Typ,0.0,Detchd,4.1588830833596715,RFn,2.0,436.0,Y,0.0,0.0,0.0,0,No,0,2,2007,COD,Abnorml,11.507922973347437,Yes,Yes,0.0,No,65.80273550544841,18748900,81182737000,20.8806130178211,190096.0,82881856.0,44.24929377967517,3833764,7506509912
444,610,534402170,60,RL,68.0,8970,No,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,2Story,5,1.9459101490553132,4.04305126783455,1965,Gable,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,0.6931471805599453,ALQ,5.963579343618446,Unf,5.877735781779639,744.0,3,Y,SBrkr,6.716594773520978,7.182352111885263,0,7.669028288589683,0.0,2,0.6931471805599453,1.6094379124341003,3,2.0794415416798357,Typ,0.6931471805599453,Attchd,4.04305126783455,Fin,2.0,549.0,Y,0.0,3.713572066704308,5.579729825986222,0,Yes,0,6,2009,WD ,Normal,12.086731521684555,Yes,Yes,0.0,No,94.7100839404126,80460900,721734273000,23.430749027719962,301401.0,165469149.0,44.328320518603,3861225,7587307125
445,2194,908276230,20,RL,60.0,8190,No,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,4,1.9459101490553132,4.219507705176107,1954,Hip,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,0.6931471805599453,Rec,6.597145701886651,Unf,5.37989735354046,948.0,5,Y,SBrkr,6.855408798609928,0.0,0,6.855408798609928,0.6931471805599453,1,0.0,1.3862943611198906,3,1.791759469228055,Typ,0.6931471805599453,Detchd,4.189654742026425,Unf,1.0,280.0,Y,0.0,3.6109179126442243,0.0,0,No,0,10,2007,WD ,Normal,11.686887175419702,Yes,Yes,0.0,No,90.49861877399013,67076100,549353259000,16.73320053068151,78400.0,21952000.0,44.204072210600685,3818116,7460598664
446,1454,907250020,20,RL,75.0,9742,No,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,1.791759469228055,2.995732273553991,2002,Hip,VinylSd,VinylSd,BrkFace,5.641907070938114,4,3,PConc,4,0.6931471805599453,Unf,0.0,Unf,7.48324441607385,1777.0,5,Y,SBrkr,7.493317248862145,0.0,0,7.493317248862145,0.0,2,0.0,1.3862943611198906,4,2.0794415416798357,Typ,0.6931471805599453,Attchd,2.995732273553991,RFn,2.0,534.0,Y,5.147494476813453,5.075173815233827,0.0,0,No,0,9,2008,WD ,Normal,12.345838935721968,Yes,Yes,0.0,No,98.70157040290697,94906564,924579746488,23.108440016582687,285156.0,152273304.0,44.74371464239419,4008004,8024024008
447,1455,907251090,60,RL,75.0,9473,No,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,8,1.791759469228055,2.995732273553991,2002,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,0.6931471805599453,GLQ,6.690842277418564,Unf,5.783825182329737,1128.0,5,Y,SBrkr,7.029087564149662,6.806829360392176,0,7.616775808698373,0.6931471805599453,2,0.6931471805599453,1.3862943611198906,4,2.0794415416798357,Typ,0.6931471805599453,Attchd,2.995732273553991,RFn,2.0,577.0,Y,0.0,5.356586274672012,0.0,0,No,0,3,2008,WD ,Normal,12.37581963951765,Yes,Yes,0.0,No,97.32933781753577,89737729,850085506817,24.020824298928627,332929.0,192100033.0,44.74371464239419,4008004,8024024008
449,1844,533213140,160,FV,34.0,3230,Yes,Reg,Lvl,Corner,Gtl,Somerst,Norm,TwnhsE,2Story,6,1.791759469228055,3.1354942159291497,1999,Gable,MetalSd,MetalSd,BrkFace,7.029972911706386,3,3,PConc,4,0.6931471805599453,GLQ,6.040254711277414,Unf,5.739792912179234,729.0,4,Y,SBrkr,6.593044534142437,6.593044534142437,0,7.285506548522785,0.0,2,0.6931471805599453,1.0986122886681098,3,1.791759469228055,Typ,0.6931471805599453,Detchd,3.1354942159291497,Unf,2.0,440.0,Y,0.0,3.4965075614664802,0.0,0,No,0,6,2007,WD ,Normal,12.07824495582233,Yes,Yes,0.0,No,56.83308895353129,10432900,33698267000,20.97617696340303,193600.0,85184000.0,44.710177812216315,3996001,7988005999
450,580,534125080,60,RL,78.0,11700,No,Reg,Lvl,Inside,Gtl,NWAmes,RRAn,1Fam,2Story,6,1.9459101490553132,3.9889840465642745,1968,Gable,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,0.6931471805599453,Rec,5.700443573390687,Unf,6.063785208687608,727.0,5,Y,SBrkr,6.721425700790643,6.590301048196686,0,7.350516171833998,0.0,1,0.6931471805599453,1.6094379124341003,3,2.1972245773362196,Typ,0.0,Attchd,3.9889840465642745,Unf,2.0,441.0,Y,0.0,0.0,0.0,0,No,0,5,2009,WD ,Normal,11.944714374881176,Yes,Yes,0.0,No,108.16653826391968,136890000,1601613000000,21.0,194481.0,85766121.0,44.36214602563767,3873024,7622111232
451,1241,535176100,20,RL,90.0,13200,No,IR1,Lvl,Inside,Gtl,NAmes,Feedr,1Fam,1Story,6,1.9459101490553132,4.1588830833596715,1958,Gable,Wd Sdng,Wd Sdng,BrkFace,5.236441962829949,3,3,CBlock,3,0.6931471805599453,LwQ,6.8658910748834385,Unf,6.082218910376446,1395.0,5,Y,SBrkr,7.359467638255621,0.0,0,7.359467638255621,0.6931471805599453,1,0.0,1.3862943611198906,3,1.791759469228055,Typ,0.6931471805599453,Attchd,4.1588830833596715,RFn,2.0,441.0,Y,6.19644412779452,0.0,0.0,0,No,0,5,2008,WD ,Normal,12.02455676409265,Yes,Yes,0.0,No,114.89125293076057,174240000,2299968000000,21.0,194481.0,85766121.0,44.24929377967517,3833764,7506509912
453,49,528180070,120,RL,61.0,7658,No,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,1.791759469228055,2.833213344056216,2005,Hip,MetalSd,MetalSd,BrkFace,6.023447592961033,5,3,PConc,5,0.6931471805599453,GLQ,6.124683390894205,Unf,7.167809184316444,1752.0,5,Y,SBrkr,7.469083884921234,0.0,0,7.469083884921234,0.6931471805599453,2,0.0,1.0986122886681098,5,1.9459101490553132,Typ,0.6931471805599453,Attchd,2.833213344056216,RFn,2.0,576.0,Y,5.2832037287379885,4.418840607796598,0.0,0,No,0,2,2010,WD ,Normal,12.675766851909591,Yes,Yes,0.0,No,87.50999942863673,58644964,449103134312,24.0,331776.0,191102976.0,44.77722635447622,4020025,8060150125
454,1284,902100020,20,RM,56.0,9836,Yes,Reg,Bnk,Inside,Gtl,OldTown,Artery,1Fam,1Story,6,1.791759469228055,2.6390573296152584,2008,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,3,0.6931471805599453,GLQ,4.574710978503383,Unf,4.574710978503383,192.0,4,N,SBrkr,7.033506484287697,0.0,0,7.033506484287697,0.6931471805599453,1,0.0,1.3862943611198906,3,2.0794415416798357,Typ,0.0,Detchd,2.6390573296152584,Unf,1.0,308.0,Y,0.0,5.170483995038151,0.0,0,No,0,12,2008,WD ,Abnorml,11.870606902224587,Yes,Yes,0.0,Yes,99.1766101457395,96746896,951602469056,17.549928774784245,94864.0,29218112.0,44.81071300481616,4032064,8096384512
455,2700,904100090,90,RL,120.0,11136,No,Reg,Lvl,Corner,Gtl,Sawyer,Feedr,Duplex,1Story,6,1.791759469228055,4.060443010546419,1964,Gable,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,0.6931471805599453,Unf,0.0,Unf,7.561121589530238,1921.0,3,Y,SBrkr,7.561121589530238,0.0,0,7.561121589530238,0.0,2,0.0,1.6094379124341003,3,2.1972245773362196,Typ,0.0,Detchd,4.060443010546419,Unf,2.0,576.0,Y,0.0,5.198497031265826,0.0,0,No,0,7,2006,WD ,Normal,11.918397239722838,Yes,Yes,0.0,No,105.52724766618336,124010496,1380980883456,24.0,331776.0,191102976.0,44.31703961232068,3857296,7575729344
456,1096,528290090,60,RL,68.0,7750,No,Reg,Lvl,Inside,Gtl,Gilbert,RRAn,1Fam,2Story,7,1.791759469228055,2.995732273553991,2002,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,0.6931471805599453,Unf,0.0,Unf,6.56244409369372,707.0,5,Y,SBrkr,6.56244409369372,6.56244409369372,0,7.254884810077338,0.0,2,0.6931471805599453,1.3862943611198906,4,1.9459101490553132,Typ,0.6931471805599453,Attchd,2.995732273553991,Fin,2.0,403.0,Y,4.61512051684126,3.58351893845611,0.0,0,No,0,4,2008,WD ,Normal,12.07824495582233,Yes,Yes,0.0,No,88.03408430829505,60062500,465484375000,20.074859899884732,162409.0,65450827.0,44.74371464239419,4008004,8024024008
457,1752,528250010,80,RL,68.0,11950,No,IR1,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,SLvl,7,1.791759469228055,2.9444389791664403,2003,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,0.6931471805599453,Unf,0.0,Unf,5.953243334287785,384.0,5,Y,SBrkr,6.626717749249025,6.46302945692067,0,7.240649694255466,0.0,2,0.6931471805599453,1.3862943611198906,4,2.0794415416798357,Typ,0.6931471805599453,BuiltIn,2.9444389791664403,Fin,2.0,400.0,Y,4.61512051684126,0.0,0.0,0,No,0,10,2007,WD ,Normal,12.016732516077072,Yes,Yes,0.0,No,109.31605554537722,142802500,1706489875000,20.0,160000.0,64000000.0,44.75488800120049,4012009,8036054027
458,2914,923226180,180,RM,21.0,1470,No,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Twnhs,SFoyer,4,1.9459101490553132,3.9512437185814275,1970,Gable,CemntBd,CmentBd,None,0.0,3,3,CBlock,4,1.3862943611198906,GLQ,6.259581464064923,Unf,4.6913478822291435,630.0,3,Y,SBrkr,6.447305862541213,0.0,0,6.447305862541213,0.6931471805599453,1,0.0,0.6931471805599453,3,1.3862943611198906,Typ,0.0,Attchd,3.784189633918261,Unf,0.0,0.0,Y,0.0,0.0,0.0,0,No,0,4,2006,WD ,Normal,11.19822841866684,No,Yes,0.0,No,38.34057902536163,2160900,3176523000,0.0,0.0,0.0,44.384682042344295,3880900,7645373000
459,712,902207170,30,RM,60.0,8520,No,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,1Story,5,2.1972245773362196,4.59511985013459,1950,Gable,Stucco,Stucco,None,0.0,4,3,PConc,2,0.6931471805599453,Unf,0.0,Unf,6.437751649736401,624.0,3,Y,SBrkr,6.675823221634848,0.0,0,6.675823221634848,0.0,1,0.0,1.0986122886681098,3,1.791759469228055,Typ,0.0,Detchd,4.07753744390572,Unf,1.0,287.0,Y,0.0,0.0,4.406719247264253,0,Yes,0,2,2009,WD ,Normal,11.507922973347437,Yes,Yes,3.332204510175204,No,92.30384607371461,72590400,618470208000,16.941074346097416,82369.0,23639903.0,44.15880433163923,3802500,7414875000
